Id;UserId;SongId;Rate
1;1;2777;2
2;1;5242;2
3;1;1415;1
4;1;1937;3
5;1;3776;3
6;1;5513;2
7;1;2043;4
8;1;3054;2
9;1;2509;1
10;1;2108;5
11;2;4855;3
12;2;4074;3
13;2;1963;2
14;2;4795;2
15;2;393;5
16;2;3032;1
17;2;5859;1
18;2;5589;5
19;2;1261;3
20;2;4254;4
21;3;4197;2
22;3;3591;5
23;3;44;5
24;3;5859;1
25;3;161;2
26;3;4205;5
27;3;2435;2
28;3;1648;3
29;3;1700;5
30;3;682;2
31;4;5502;2
32;4;1008;2
33;4;3630;5
34;4;2312;5
35;4;5097;5
36;4;968;4
37;4;246;2
38;4;1235;5
39;4;2340;3
40;4;5695;1
41;5;819;5
42;5;1524;5
43;5;2873;2
44;5;4082;3
45;5;2804;3
46;5;5101;3
47;5;925;4
48;5;3331;5
49;5;4632;5
50;5;3054;3
51;6;4663;3
52;6;1762;1
53;6;684;4
54;6;1183;1
55;6;5577;2
56;6;5116;2
57;6;5198;2
58;6;1485;3
59;6;1775;4
60;6;5500;3
61;7;3077;4
62;7;395;2
63;7;1354;1
64;7;1826;2
65;7;2535;1
66;7;3847;1
67;7;444;4
68;7;5581;1
69;7;5628;2
70;7;5355;5
71;8;2786;3
72;8;4623;5
73;8;3249;1
74;8;1496;2
75;8;3434;2
76;8;2673;1
77;8;717;5
78;8;1892;5
79;8;3055;1
80;8;990;4
81;9;3280;4
82;9;5034;2
83;9;2946;3
84;9;4576;1
85;9;1948;5
86;9;3740;5
87;9;323;4
88;9;2446;3
89;9;2664;3
90;9;5911;3
91;10;1700;1
92;10;4690;2
93;10;5389;5
94;10;2769;3
95;10;2617;5
96;10;424;5
97;10;170;3
98;10;1046;3
99;10;1547;1
100;10;4887;1
101;11;4656;4
102;11;1273;2
103;11;3632;2
104;11;5207;3
105;11;267;1
106;11;40;1
107;11;4442;5
108;11;5117;5
109;11;3679;2
110;11;2904;1
111;12;4398;5
112;12;3306;1
113;12;4360;2
114;12;785;5
115;12;2219;4
116;12;3973;2
117;12;3379;5
118;12;2708;3
119;12;5808;4
120;12;4724;5
121;13;3523;2
122;13;3927;3
123;13;2916;4
124;13;5647;3
125;13;3655;2
126;13;4026;4
127;13;5163;3
128;13;479;5
129;13;4809;1
130;13;3009;2
131;14;2503;1
132;14;5601;1
133;14;344;2
134;14;4097;4
135;14;2263;3
136;14;2007;2
137;14;1401;3
138;14;3668;2
139;14;4308;3
140;14;1908;2
141;15;5227;3
142;15;1136;3
143;15;4696;5
144;15;5690;5
145;15;1512;1
146;15;4324;5
147;15;329;4
148;15;4604;3
149;15;550;1
150;15;4574;2
151;16;2975;5
152;16;3392;3
153;16;1168;5
154;16;2752;1
155;16;1364;3
156;16;729;4
157;16;4286;2
158;16;3915;3
159;16;1551;5
160;16;2171;1
161;17;806;1
162;17;3963;4
163;17;308;2
164;17;670;1
165;17;401;4
166;17;4727;4
167;17;2961;2
168;17;263;3
169;17;4451;1
170;17;212;1
171;18;2571;3
